# A comment line
Project	Description	Start date	Category	Responsible	Savings amount	Currency	Complexity
2	Harmonize Lactobacillus acidophilus sourcing	2014-01-01 00:00:00.000	Dairy	Daisy Milks	NULL	NULL	Simple




3	Substitute Crème fraîche with evaporated milk in ice-cream products	2013-01-01 01:02:20.000	Dairy	Daisy Milks	141415.942696	EUR	Moderate
3	Substitute Crème fraîche with evaporated milk in ice-cream products	2013-01-01 02:03:30.010	Dairy	Daisy Milks	141415.942696	EUR	Moderate
4	Decrease production related non-categorized side costs	2013-01-01 00:00:00.000	Dairy	Daisy Milks	11689.322459	EUR	Hazardous
4	Decrease production related non-categorized side costs	2013-01-01 00:00:00.000	Dairy	Daisy Milks	11689.322459	EUR	Hazardous
5	Stop using Kryptonite in production	2013-04-01 00:00:00.000	Dairy	Clark Kent	NULL	NULL	Moderate



6	Black and white logo paper	2012-06-01 01:20:04.222	Office supplies	Clark Kent	4880.199567	EUR	Simple

6	Black and white logo paper	2012-06-01 02:03:20.333	Office supplies	Clark Kent	4880.199567	EUR	Simple


